round,giver,receiver,tokens,
9,Joseph,Melchizedek,0,
9,Adam,Jeremiah,4,
9,Adam,Sharon,0,
9,Adam,David,4,
9,Adam,Adam,0,
9,Adam,Samuel,4,
9,Adam,Aaron,0,
9,Adam,Joseph,0,
9,Adam,Melchizedek,4,
9,Aaron,Jeremiah,0,
9,Aaron,Sharon,8,
9,Aaron,David,0,
9,Aaron,Adam,0,
9,Aaron,Samuel,0,
9,Aaron,Aaron,0,
9,Aaron,Joseph,8,
9,Aaron,Melchizedek,0,
10,David,Jeremiah,4,
10,David,Sharon,0,
10,David,David,0,
10,David,Adam,4,
10,David,Samuel,4,
10,David,Aaron,0,
10,David,Joseph,0,
10,David,Melchizedek,4,
10,Adam,Jeremiah,4,
10,Adam,Sharon,0,
10,Adam,David,4,
10,Adam,Adam,0,
10,Adam,Samuel,4,
10,Adam,Aaron,0,
10,Adam,Joseph,0,
10,Adam,Melchizedek,4,
10,Melchizedek,Jeremiah,4,
10,Melchizedek,Sharon,0,
10,Melchizedek,David,4,
10,Melchizedek,Adam,4,
10,Melchizedek,Samuel,4,
10,Melchizedek,Aaron,0,
10,Melchizedek,Joseph,0,
10,Melchizedek,Melchizedek,0,
10,Samuel,Jeremiah,0,
10,Samuel,Sharon,0,
10,Samuel,David,4,
10,Samuel,Adam,4,
10,Samuel,Samuel,0,
10,Samuel,Aaron,0,
10,Samuel,Joseph,0,
10,Samuel,Melchizedek,8,
10,Sharon,Jeremiah,0,
10,Sharon,Sharon,0,
10,Sharon,David,0,
10,Sharon,Adam,0,
10,Sharon,Samuel,0,
10,Sharon,Aaron,8,
10,Sharon,Joseph,8,
10,Sharon,Melchizedek,0,
10,Jeremiah,Jeremiah,0,
10,Jeremiah,Sharon,0,
10,Jeremiah,David,4,
10,Jeremiah,Adam,4,
10,Jeremiah,Samuel,4,
10,Jeremiah,Aaron,0,
10,Jeremiah,Joseph,0,
10,Jeremiah,Melchizedek,4,
10,Joseph,Jeremiah,0,
10,Joseph,Sharon,8,
10,Joseph,David,0,
10,Joseph,Adam,0,
10,Joseph,Samuel,0,
10,Joseph,Aaron,8,
10,Joseph,Joseph,0,
10,Joseph,Melchizedek,0,
10,Aaron,Jeremiah,0,
10,Aaron,Sharon,8,
10,Aaron,David,0,
10,Aaron,Adam,0,
10,Aaron,Samuel,0,
10,Aaron,Aaron,0,
10,Aaron,Joseph,8,
10,Aaron,Melchizedek,0,
11,Samuel,Jeremiah,4,
11,Samuel,Sharon,0,
11,Samuel,David,4,
11,Samuel,Adam,4,
11,Samuel,Samuel,0,
11,Samuel,Aaron,0,
11,Samuel,Joseph,0,
11,Samuel,Melchizedek,4,
11,Adam,Jeremiah,4,
11,Adam,Sharon,0,
11,Adam,David,4,
11,Adam,Adam,0,
11,Adam,Samuel,4,
11,Adam,Aaron,0,
11,Adam,Joseph,0,
11,Adam,Melchizedek,4,
11,Sharon,Jeremiah,0,
11,Sharon,Sharon,0,
11,Sharon,David,0,
11,Sharon,Adam,0,
11,Sharon,Samuel,0,
11,Sharon,Aaron,8,
11,Sharon,Joseph,8,
11,Sharon,Melchizedek,0,
11,Jeremiah,Jeremiah,0,
11,Jeremiah,Sharon,0,
11,Jeremiah,David,4,
11,Jeremiah,Adam,4,
11,Jeremiah,Samuel,4,
11,Jeremiah,Aaron,0,
11,Jeremiah,Joseph,0,
11,Jeremiah,Melchizedek,4,
11,David,Jeremiah,4,
11,David,Sharon,0,
11,David,David,0,
11,David,Adam,4,
11,David,Samuel,4,
11,David,Aaron,0,
11,David,Joseph,0,
11,David,Melchizedek,4,
11,Melchizedek,Jeremiah,4,
11,Melchizedek,Sharon,0,
11,Melchizedek,David,4,
11,Melchizedek,Adam,4,
11,Melchizedek,Samuel,4,
11,Melchizedek,Aaron,0,
11,Melchizedek,Joseph,0,
11,Melchizedek,Melchizedek,0,
11,Aaron,Jeremiah,0,
11,Aaron,Sharon,8,
11,Aaron,David,0,
11,Aaron,Adam,0,
11,Aaron,Samuel,0,
11,Aaron,Aaron,0,
11,Aaron,Joseph,8,
11,Aaron,Melchizedek,0,
11,Joseph,Jeremiah,0,
11,Joseph,Sharon,8,
11,Joseph,David,0,
11,Joseph,Adam,0,
11,Joseph,Samuel,0,
11,Joseph,Aaron,8,
11,Joseph,Joseph,0,
11,Joseph,Melchizedek,0,
12,Melchizedek,Jeremiah,4,
12,Melchizedek,Sharon,0,
12,Melchizedek,David,4,
12,Melchizedek,Adam,4,
12,Melchizedek,Samuel,4,
12,Melchizedek,Aaron,0,
12,Melchizedek,Joseph,0,
12,Melchizedek,Melchizedek,0,
12,David,Jeremiah,4,
12,David,Sharon,0,
12,David,David,0,
12,David,Adam,4,
12,David,Samuel,4,
12,David,Aaron,0,
12,David,Joseph,0,
12,David,Melchizedek,4,
12,Adam,Jeremiah,4,
12,Adam,Sharon,0,
12,Adam,David,4,
12,Adam,Adam,0,
12,Adam,Samuel,4,
